symbol,weight,norm_weight,x,y,norm_x,norm_y,hor_ax_moment,ver_ax_moment,45_ax_moment,135_ax_moment,norm_hor_ax_moment,norm_ver_ax_moment,norm_45_ax_moment,norm_135_ax_moment
А,320,0.32323232323232326,14,17,0.40625,0.5517241379310345,24493,16132,20217,20764,0.239189453125,0.1575390625,0.197431640625,0.2027734375
Б,351,0.4624505928853755,9,16,0.25,0.6818181818181818,38389,14447,24046,35471,0.31159649678168194,0.11726365857419989,0.19517698719977922,0.28791162409396026
В,384,0.5059288537549407,9,16,0.25,0.6818181818181818,38358,16069,25832,35545,0.2601318359375,0.1089748806423611,0.17518446180555555,0.2410549587673611
а,254,0.5291666666666667,10,11,0.391304347826087,0.5263157894736842,12802,7460,10371,9686,0.19843139686279374,0.11563023126046253,0.160750821501643,0.15013330026660054
б,348,0.4027777777777778,11,18,0.2857142857142857,0.7391304347826086,35099,15488,25741,31880,0.2898252741445369,0.12789007794953097,0.21255284713964856,0.263244814374422
в,276,0.575,8,11,0.30434782608695654,0.5263157894736842,14230,8254,10717,11935,0.18680424280613317,0.10835433732409158,0.14068735559756354,0.15667664356227684
+,168,0.2916666666666667,11,11,0.43478260869565216,0.43478260869565216,4732,3684,4166,4250,0.16765873015873015,0.13052721088435373,0.1476048752834467,0.1505810657596372
=,163,0.5292207792207793,10,6,0.6923076923076923,0.23809523809523808,4306,5660,4903,6871,0.1620685761601867,0.21303022319244233,0.18453837178666868,0.25860965787195606
j,172,0.3412698412698413,7,22,0.14634146341463414,1.9090909090909092,26477,604,15290,29265,0.8949770146024878,0.020416441319632234,0.5168334234721471,0.9892171444023796
J,155,0.3613053613053613,8,18,0.21875,1.4166666666666667,15577,1134,10526,13424,0.648366285119667,0.047200832466181064,0.43812695109261185,0.558751300728408
(,176,0.39111111111111113,3,22,0.045454545454545456,2.3333333333333335,27950,740,14345,43225,0.9023114669421488,0.023889462809917356,0.46310046487603307,1.3954351756198347
),178,0.39555555555555555,4,22,0.06818181818181818,2.3333333333333335,29058,806,14988,40256,0.917119050624921,0.02543870723393511,0.473046332533771,1.2705466481504861
